Кабель,От позиция,Каб. ввод,До позиции,Каб. ввод,"Марка кабеля, количество жил, сечение","Длина,",Тип,"Длина,",Тип сигнала
C-QT22Q2-2,QT-22Q2,"М20х1,5",7-ШС22.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",24VDC
C-TZT2T20/1,TZT-2T20/1,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",125,"РЗ-ЦХ-15
 Ц-15х2,8","2
 2",AI
C-TZT2T20/2,TZT-2T20/2,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",125,"РЗ-ЦХ-15
 Ц-15х2,8","2
 2",AI
C-QZT2.2Q1,QZT-2.2Q1,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",130,"РЗ-ЦХ-15
 Ц-15х2,8","2
 8",AI
C-QZT2.2Q2,QZT-2.2Q2,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",100,"РЗ-ЦХ-15
 Ц-15х2,8","2
 7",AI
C-QZT2.2Q3,QZT-2.2Q3,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",110,РЗ-ЦХ-15,2,AI
C-QZT2.2Q4,QZT-2.2Q4,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",110,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",AI
C-QZT3Q3,QZT-3Q3,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",85,"РЗ-ЦХ-15
 Ц-15х2,8","2
 2",AI
C-QZT3Q4,QZT-3Q4,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",80,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C- QZT3Q5,QZT-3Q5,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",90,"РЗ-ЦХ-15
 Ц-15х2,8","2
 2",AI
C-QZT6Q4,QZT-6Q4,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",85,РЗ-ЦХ-15,2,AI
-,QZE-3Q2/1,"М20х1,5",QZT-3Q2/1,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QZT3Q2/1-1,QZT-3Q2/1,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный,",100,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",AI
C-QZT3Q2/1-2,QZT-3Q2/1,"М20х1,5",7-ПАЗ.1,-,"Кабель контрольный,",100,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",24VDC
-,QZE-3Q2/2,"М20х1,5",QZT-3Q2/2,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QZT3Q2/2-1,QZT-3Q2/2,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",100,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",AI
C-QZT3Q2/2-2,QZT-3Q2/2,"М20х1,5",7-ПАЗ.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",100,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",24VDC
C-3kshe7-1,3кшэ7,"М20х1,5",7-ШС3.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DO
C-3kshe7-2,3кшэ7,"М20х1,5",7-ШС3.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",10,"РЗ-ЦХ-20
 Ц-20х2,8","2
 3",DI
C-QZT7Q3,QZT-7Q3,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",75,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C-QZT7Q4,QZT-7Q4,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",80,РЗ-ЦХ-15,2,AI
C-TZT13T20/1,TZT-13T20/1,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",125,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C-TZT13T20/2,TZT-13T20/2,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",125,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C-QZT13Q20,QZT-13Q20,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",125,РЗ-ЦХ-15,2,AI
C-QZT14Q3,QZT-14Q3,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",125,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C-QZT14Q4,QZT-14Q4,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",115,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C- QZT14Q5,QZT-14Q5,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",115,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C-QZT17Q4,QZT-17Q4,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",130,РЗ-ЦХ-15,2,AI
-,QZE-14Q2/1,"М20х1,5",QZT-14Q2/1,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QZT14Q2/1-1,QZT-14Q2/1,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",125,РЗ-ЦХ-15,2,AI
C-QZT14Q2/1-2,QZT-14Q2/1,,,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",125,РЗ-ЦХ-15,2,24VDC
-,QZE-14Q2/2,"М20х1,5",QZT-14Q2/2,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QZT14Q2/2-1,QZT-14Q2/2,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",115,РЗ-ЦХ-15,2,AI
C-QZT14Q2/2-2,QZT-14Q2/2,"М20х1,5",7-ПАЗ.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",115,РЗ-ЦХ-15,2,24VDC
C-14kshe7-1,14кшэ7,"М20х1,5",7-ШС14.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DO
C-14kshe7-2,14кшэ7,"М20х1,5",7-ШС14.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",10,"РЗ-ЦХ-20
 Ц-20х2,8","2
 3",DI
C-QZT18Q3,QZT-18Q3,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",120,"РЗ-ЦХ-20
 Ц-20х2,8","2
 3",AI
C-QZT18Q4,QZT-18Q4,"М20х1,5",7-ПАЗ.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х3х1,0",105,РЗ-ЦХ-15,2,AI
