Кабель,Проводник,Проектная позиция Откуда,Клеммный ряд Откуда,Клемма Откуда,Подключено,Проверено,Проектная позиция Куда,Клеммный ряд Куда,Клемма Куда,Подключено,Проверено,Комментарий
,FT-3F7 (-),3JB005,XT2,4,Да,Да,7-ШС3.1,XT3,28,Да,Да,
,ZS3kshe1/1-1,3JB005,XT2,5,Да,Да,7-ШС3.1,XT1,29,Да,Да,
,ZSO3kshe1/1,3JB005,XT2,6,Да,Да,7-ШС3.1,XT1,30,Да,Да,
,ZS3kshe1/1-2,3JB005,XT2,7,Да,Да,7-ШС3.1,XT1,32,Да,Да,
,ZSC3kshe1/1,3JB005,XT2,8,Да,Да,7-ШС3.1,XT1,31,Да,Да,
,ZS3kshe2/1-1,3JB005,XT2,9,Да,Да,7-ШС3.1,XT1,37,Да,Да,
,ZSO3kshe2/1,3JB005,XT2,10,Да,Да,7-ШС3.1,XT1,38,Да,Да,
,ZS3kshe2/1-2,3JB005,XT2,11,Да,Да,7-ШС3.1,XT1,40,Да,Да,
,ZSC3kshe2/1,3JB005,XT2,12,Да,Да,7-ШС3.1,XT1,39,Да,Да,
,ZS3zpe3/1-1,3JB005,XT2,13,Да,Да,7-ШС3.1,XT1,45,Да,Да,
,ZSO3zpe3/1,3JB005,XT2,14,Да,Да,7-ШС3.1,XT1,46,Да,Да,
,ZS3zpe3/1-2,3JB005,XT2,15,Да,Да,7-ШС3.1,XT1,48,Да,Да,
,ZSC3zpe3/1,3JB005,XT2,16,Да,Да,7-ШС3.1,XT1,47,Да,Да,
,Экран,3JB005,XT,экран,Да,Да,7-ШС3.1,XT3,30,Да,Да,
C-3JB005-9,ZS3zpe4/1-1,3JB005,XT2,17,Да,Да,7-ШС3.1,XT1,53,Да,Да,
,ZSO3zpe4/1,3JB005,XT2,18,Да,Да,7-ШС3.1,XT1,54,Да,Да,
,ZS3zpe4/1-2,3JB005,XT2,19,Да,Да,7-ШС3.1,XT1,56,Да,Да,
,ZSC3zpe4/1,3JB005,XT2,20,Да,Да,7-ШС3.1,XT1,55,Да,Да,
,ZS3kshe5/1-1,3JB005,XT2,21,Да,Да,7-ШС3.1,XT1,61,Да,Да,
,ZSO3kshe5/1,3JB005,XT2,22,Да,Да,7-ШС3.1,XT1,62,Да,Да,
,ZS3kshe5/1-2,3JB005,XT2,23,Да,Да,7-ШС3.1,XT1,64,Да,Да,
,ZSC3kshe5/1,3JB005,XT2,24,Да,Да,7-ШС3.1,XT1,63,Да,Да,
,ZS3kshe6-1,3JB005,XT2,25,Да,Да,7-ШС3.1,XT1,269,Да,Да,
,ZSO3kshe6,3JB005,XT2,26,Да,Да,7-ШС3.1,XT1,270,Да,Да,
,ZS3kshe6-2,3JB005,XT2,27,Да,Да,7-ШС3.1,XT1,272,Да,Да,
,ZSC3kshe6,3JB005,XT2,28,Да,Да,7-ШС3.1,XT1,271,Да,Да,
,Экран,3JB005,XT,экран,Да,Да,7-ШС3.1,XT3,30,Да,Да,
C-3JB006-1,HS3kshe1/2 (N),3JB006,XT1,1,Да,Да,7-ШС3.1,XT1,67,Да,Да,
,HSC3kshe1/2 (L),3JB006,XT1,2,Да,Да,7-ШС3.1,XT1,66,Да,Да,
,HSO3kshe1/2 (L),3JB006,XT1,3,Да,Да,7-ШС3.1,XT1,65,Да,Да,
,3kshe1/2-PE,3JB006,XT1,PE,Да,Да,7-ШС3.1,XT1,68,Да,Да,
C-3JB006-2,HS3kshe2/2 (N),3JB006,XT1,4,Да,Да,7-ШС3.1,XT1,75,Да,Да,
,HSC3kshe2/2 (L),3JB006,XT1,5,Да,Да,7-ШС3.1,XT1,74,Да,Да,
,HSO3kshe2/2 (L),3JB006,XT1,6,Да,Да,7-ШС3.1,XT1,73,Да,Да,
,3kshe2/2-PE,3JB006,XT1,PE,Да,Да,7-ШС3.1,XT1,76,Да,Да,
