AI(PAZ),AI,DI,DI (PAZ),VALVE,,PUMP,Нет сигнала,,,Исправить,,Диагностика. Нет сигналов
Objects.AI.QZT_8Q21_double,Objects.AI.PT_4P8,Objects.DI.bat_7SHS13_1_status,,Objects.VALVE.V_3kshe2_4,Objects.VALVE.V_24zpe10,Objects.PUMP.N15_1_pump,12kpv205,Objects.VALVE.V_12kpv205,ШУ-Ф2,"LE-2L16(a,b,c)",DI,
Objects.AI.LZT_8L29_double,Objects.AI.PT_4P9,Objects.DI.bat_7SHS16_1_low,,Objects.VALVE.V_3kshe3_4,Objects.VALVE.V_24zpe11,Objects.PUMP.N15_2_pump,12kshv200,Objects.VALVE.V_12kshv200,ШУ-Ф2,LS-2L17,DI,
Objects.AI.QZT_8Q20_double,Objects.AI.QT_4Q1_electrical_conductivity,Objects.DI.bat_7SHS16_1_status,,Objects.VALVE.V_3zpe4_4,ШС14.1,Objects.PUMP.N16_1_pump,12kpv200,Objects.VALVE.V_12kpv200,ШУ-Ф2,LS-2L18,DI,
Objects.AI.QZT_8Q22_double,Objects.AI.QT_4Q2_electrical_conductivity,Objects.DI.bat_7SHS17_status,,Objects.VALVE.V_3kshe5_4,Objects.VALVE.V_14kshe12,Objects.PUMP.N16_2_pump,12kpv201,Objects.VALVE.V_12kpv201,ШУ-Ф2,LS-2L19,DI,
Objects.AI.PZT_9P16_double,Objects.AI.TT_4T1,Objects.DI.bat_7SHS17_low,,Objects.VALVE.V_3kshe1_5,Objects.VALVE.V_14kshe13,Objects.PUMP.N4_1_pump,12kpv204,Objects.VALVE.V_12kpv204,,,,
Objects.AI.PZT_9P17_double,Objects.AI.LT_4L4_min,Objects.DI.bat_7SHS18_status,,Objects.VALVE.V_3kshe2_5,Objects.VALVE.V_14zpe15,Objects.PUMP.NM6_1_pump,12kpv202,Objects.VALVE.V_12kpv202,Узел обезвоживания осадка (1 модуль),,,
Objects.AI.QZT_9Q3_double,Objects.AI.PT_4P13,Objects.DI.bat_7SHS18_low,,Objects.VALVE.V_3kshe3_5,Objects.VALVE.V_14zpe16,Objects.PUMP.EM6_1_motor,12kpv203,Objects.VALVE.V_12kpv203,AX1,LS-2L9.1,AI,
Objects.AI.LZT_10L20_double,Objects.AI.PT_4P17,Objects.DI.PS_19P9,,Objects.VALVE.V_3zpe4_5,,Objects.PUMP.ND26_1_pump,PT_12F2,,AX1,LS-2L9.2,AI,
Objects.AI.PZS_10P16_double,Objects.AI.TT_4T2,Objects.DI.PS_19P10,,Objects.VALVE.V_3kshe5_5,,Objects.PUMP.N25_1_pump,TT_12F2,,AX1,PS-2P11,DI,
Objects.AI.PZT_11P20_double,Objects.AI.PT_4P14,Objects.DI.PS_19P11,,Objects.VALVE.V_3kshe1_6,,Objects.PUMP.ND26_2_pump,12kshv101,Objects.VALVE.V_12kshv101,AX1,FT-2F12,AI,
Objects.AI.TZT_12T20_double,Objects.AI.PT_4P18,Objects.DI.PS_19P12,,Objects.VALVE.V_3zpe2_6,,Objects.PUMP.N28_7_pump,12kshv100,Objects.VALVE.V_12kshv100,AX1,2кшv3,DI/DO,
Objects.AI.TZT_12T21_double,Objects.AI.LT_4L1_min,Objects.DI.LS_19L30_higt,,Objects.VALVE.V_3kshe3_6,,Objects.PUMP.NP1_pump,TT_12T3,Objects.AI.TT_12T3,AX1,LT-2L31,AI,
Objects.AI.TZT_12T22_double,Objects.AI.FI_4F4,Objects.DI.LVL_19L31_low,,Objects.VALVE.V_3zpe4_6,,Objects.PUMP.N28_1_pump,PT_12P4,Objects.AI.PT_12P4,AX1,2кшv1,DI/DO,
Objects.AI.TZT_12T23_double,Objects.AI.FT_6F1,Objects.DI.DPS_19P32,,Objects.VALVE.V_3zpe5_6,,Objects.PUMP.N28_2_pump,7-ШС22.1,,AX1,2кшv2,DI/DO,
Objects.AI.TZT_12T24_double,Objects.AI.FT_6F2,Objects.DI.DPS_19P33,,Objects.VALVE.V_3kshe6,,Objects.PUMP.N28_3_pump,PT_22P16 ,,AX1,2кшv11,DI/DO,
