,,,,,
,,,,,
1: Category 1,LZT_5L12_1_SIGN,3x-70,4,LZT_5L12_1 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L12_1_SIGN,3x-70,5,LZT_5L12_1 В диапазоне уставок,
0: Category 0,LZT_5L12_1_QUALITY,3x-69,0,КАНАЛ LZT_5L12_1 - Неопред.,
2: Category 2,LZT_5L12_1_QUALITY,3x-69,1,КАНАЛ LZT_5L12_1 - Ошибка,255:0:0
2: Category 2,LZT_5L12_1_QUALITY,3x-69,2,КАНАЛ LZT_5L12_1 - Обрыв,255:0:0
2: Category 2,LZT_5L12_1_QUALITY,3x-69,3,КАНАЛ LZT_5L12_1 - Перегрузка,255:0:0
1: Category 1,LZT_5L12_1_QUALITY,3x-69,7,КАНАЛ LZT_5L12_1 - Подмена,255:215:0
0: Category 0,LZT_5L12_1_QUALITY,3x-69,9,КАНАЛ LZT_5L12_1 - ОК,
0: Category 0,LZT_5L12_2_SIGN,3x-75,0,LZT_5L12_2 Неопределено,
2: Category 2,LZT_5L12_2_SIGN,3x-75,1,LZT_5L12_2 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L12_2_SIGN,3x-75,2,LZT_5L12_2 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L12_2_SIGN,3x-75,3,LZT_5L12_2 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L12_2_SIGN,3x-75,4,LZT_5L12_2 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L12_2_SIGN,3x-75,5,LZT_5L12_2 В диапазоне уставок,
0: Category 0,LZT_5L12_2_QUALITY,3x-74,0,КАНАЛ LZT_5L12_2 - Неопред.,
2: Category 2,LZT_5L12_2_QUALITY,3x-74,1,КАНАЛ LZT_5L12_2 - Ошибка,255:0:0
2: Category 2,LZT_5L12_2_QUALITY,3x-74,2,КАНАЛ LZT_5L12_2 - Обрыв,255:0:0
2: Category 2,LZT_5L12_2_QUALITY,3x-74,3,КАНАЛ LZT_5L12_2 - Перегрузка,255:0:0
1: Category 1,LZT_5L12_2_QUALITY,3x-74,7,КАНАЛ LZT_5L12_2 - Подмена,255:215:0
0: Category 0,LZT_5L12_2_QUALITY,3x-74,9,КАНАЛ LZT_5L12_2 - ОК,
0: Category 0,TZT_5T12_1_SIGN,3x-80,0,TZT_5T12_1 Неопределено,
2: Category 2,TZT_5T12_1_SIGN,3x-80,1,TZT_5T12_1 Верхн. авар. порог,255:0:0
2: Category 2,TZT_5T12_1_SIGN,3x-80,2,TZT_5T12_1 Нижн. авар. порог,255:0:0
1: Category 1,TZT_5T12_1_SIGN,3x-80,3,TZT_5T12_1 Верхн. предупр. порог,255:215:0
1: Category 1,TZT_5T12_1_SIGN,3x-80,4,TZT_5T12_1 Нижн. предупр. порог,255:215:0
0: Category 0,TZT_5T12_1_SIGN,3x-80,5,TZT_5T12_1 В диапазоне уставок,
0: Category 0,TZT_5T12_1_QUALITY,3x-79,0,КАНАЛ TZT_5T12_1 - Неопред.,
2: Category 2,TZT_5T12_1_QUALITY,3x-79,1,КАНАЛ TZT_5T12_1 - Ошибка,255:0:0
2: Category 2,TZT_5T12_1_QUALITY,3x-79,2,КАНАЛ TZT_5T12_1 - Обрыв,255:0:0
