id,Секция,Кабель,Проводник,Клеммник
220,,,5кшэ11-К-17,ХТ9:149
221,,,5кшэ11-К-18,ХТ9:150
222,,,5кшэ11-К-11,ХТ9:151
223,,,5кшэ11-К-15,ХТ9:152
224,,,5кшэ11-К-12,ХТ9:153
225,,,5кшэ11-К-16,ХТ9:154
226,2,5кшэ12-Р1,5кшэ12-К-U,ХТ9:155
227,,,5кшэ12-К-V,ХТ9:156
228,,,5кшэ12-К-W,ХТ9:157
229,,5кшэ12-К,5кшэ12-К-10,ХТ9:158
230,,,5кшэ12-К-14,ХТ9:159
231,,,5кшэ12-К-17,ХТ9:163
232,,,5кшэ12-К-18,ХТ9:164
233,,,5кшэ12-К-11,ХТ9:165
234,,,5кшэ12-К-15,ХТ9:166
235,,,5кшэ12-К-12,ХТ9:167
236,,,5кшэ12-К-16,ХТ9:168
237,2,5кшэ13-Р1,5кшэ13-К-U,ХТ9:169
238,,,5кшэ13-К-V,ХТ9:170
239,,,5кшэ13-К-W,ХТ9:171
240,,5кшэ13-К,5кшэ13-К-10,ХТ9:172
241,,,5кшэ13-К-14,ХТ9:173
242,,,5кшэ13-К-17,ХТ9:177
243,,,5кшэ13-К-18,ХТ9:178
244,,,5кшэ13-К-11,ХТ9:179
245,,,5кшэ13-К-15,ХТ9:180
246,,,5кшэ13-К-12,ХТ9:181
247,,,5кшэ13-К-16,ХТ9:182
248,2,5кшэ14-Р1,5кшэ14-К-U,ХТ9:183
249,,,5кшэ14-К-V,ХТ9:184
250,,,5кшэ14-К-W,ХТ9:185
251,,5кшэ14-К,5кшэ14-К-10,ХТ9:186
252,,,5кшэ14-К-14,ХТ9:187
253,,,5кшэ14-К-17,ХТ9:191
254,,,5кшэ14-К-18,ХТ9:192
255,,,5кшэ14-К-11,ХТ9:193
256,,,5кшэ14-К-15,ХТ9:194
257,,,5кшэ14-К-12,ХТ9:195
258,,,5кшэ14-К-16,ХТ9:196
259,2,5кшэ15-Р1,5кшэ15-К-U,ХТ9:197
260,,,5кшэ15-К-V,ХТ9:198
261,,,5кшэ15-К-W,ХТ9:199
262,,5кшэ15-К,5кшэ15-К-10,ХТ9:200
263,,,5кшэ15-К-14,ХТ9:201
264,,,5кшэ15-К-17,ХТ9:205
265,,,5кшэ15-К-18,ХТ9:206
266,,,5кшэ15-К-11,ХТ9:207
267,,,5кшэ15-К-15,ХТ9:208
268,,,5кшэ15-К-12,ХТ9:209
269,,,5кшэ15-К-16,ХТ9:210
270,2,5кшэ16-Р1,5кшэ16-К-U,ХТ9:211
271,,,5кшэ16-К-V,ХТ9:212
272,,,5кшэ16-К-W,ХТ9:213
273,,5кшэ16-К,5кшэ16-К-10,ХТ9:214
274,,,5кшэ16-К-14,ХТ9:215
275,,,5кшэ16-К-17,ХТ9:219
276,,,5кшэ16-К-18,ХТ9:220
277,,,5кшэ16-К-11,ХТ9:221
278,,,5кшэ16-К-15,ХТ9:222
279,,,5кшэ16-К-12,ХТ9:223
280,,,5кшэ16-К-16,ХТ9:224
281,2,5кшэ17-Р1,5кшэ17-К-U,ХТ9:225
